CPU: ID 0x306d4, Processor Type 0x0, Family 0x6, Model 0x3d, Stepping 0x4
Northbridge: 8086:1604 (5th generation (Broadwell family) Core Processor ULT)
Southbridge: 8086:9cc3 (Wildcat Point Low Power Premium SKU)
IGD: 8086:1626 (unknown)

============= GPIOS =============

GPIOBASE = 0x1c00 (IO)

gpiobase+0x013c: 0x00000000 (GP7CONFIGB)
gpiobase+0x0140: 0x40000005 (GP8CONFIGA)
gpiobase+0x0144: 0x00000000 (GP8CONFIGB)
gpiobase+0x0148: 0x00000015 (GP9CONFIGA)
gpiobase+0x014c: 0x00000000 (GP9CONFIGB)
gpiobase+0x0150: 0x80000001 (GP10CONFIGA)
gpiobase+0x0154: 0x00000004 (GP10CONFIGB)
gpiobase+0x0158: 0x40000000 (GP11CONFIGA)
gpiobase+0x015c: 0x00000000 (GP11CONFIGB)
gpiobase+0x0160: 0x40000000 (GP12CONFIGA)
gpiobase+0x0164: 0x00000000 (GP12CONFIGB)
gpiobase+0x0168: 0x80000001 (GP13CONFIGA)
gpiobase+0x016c: 0x00000004 (GP13CONFIGB)
gpiobase+0x0170: 0xc0000001 (GP14CONFIGA)
gpiobase+0x0174: 0x00000000 (GP14CONFIGB)
gpiobase+0x0178: 0x00000005 (GP15CONFIGA)
gpiobase+0x017c: 0x00000000 (GP15CONFIGB)
gpiobase+0x0180: 0x40000005 (GP16CONFIGA)
gpiobase+0x0184: 0x00000000 (GP16CONFIGB)
gpiobase+0x0188: 0x00000001 (GP17CONFIGA)
gpiobase+0x018c: 0x00000004 (GP17CONFIGB)
gpiobase+0x0190: 0x40000000 (GP18CONFIGA)
gpiobase+0x0194: 0x00000000 (GP18CONFIGB)
gpiobase+0x0198: 0x40000000 (GP19CONFIGA)
gpiobase+0x019c: 0x00000000 (GP19CONFIGB)
gpiobase+0x01a0: 0x40000005 (GP20CONFIGA)
gpiobase+0x01a4: 0x00000000 (GP20CONFIGB)
gpiobase+0x01a8: 0x40000000 (GP21CONFIGA)
gpiobase+0x01ac: 0x00000000 (GP21CONFIGB)
gpiobase+0x01b0: 0xc0000000 (GP22CONFIGA)
gpiobase+0x01b4: 0x00000000 (GP22CONFIGB)
gpiobase+0x01b8: 0x00000000 (GP23CONFIGA)
gpiobase+0x01bc: 0x00000000 (GP23CONFIGB)
gpiobase+0x01c0: 0x00000001 (GP24CONFIGA)
gpiobase+0x01c4: 0x00000000 (GP24CONFIGB)
gpiobase+0x01c8: 0x80000001 (GP25CONFIGA)
gpiobase+0x01cc: 0x00000004 (GP25CONFIGB)
gpiobase+0x01d0: 0x00000005 (GP26CONFIGA)
gpiobase+0x01d4: 0x00000000 (GP26CONFIGB)
gpiobase+0x01d8: 0x40000005 (GP27CONFIGA)
gpiobase+0x01dc: 0x00000000 (GP27CONFIGB)
gpiobase+0x01e0: 0xc0000001 (GP28CONFIGA)
gpiobase+0x01e4: 0x00000004 (GP28CONFIGB)
gpiobase+0x01e8: 0xc0000000 (GP29CONFIGA)
gpiobase+0x01ec: 0x00000000 (GP29CONFIGB)
gpiobase+0x01f0: 0x40000000 (GP30CONFIGA)
gpiobase+0x01f4: 0x00000000 (GP30CONFIGB)
gpiobase+0x01f8: 0x40000005 (GP31CONFIGA)
gpiobase+0x01fc: 0x00000000 (GP31CONFIGB)
gpiobase+0x0200: 0x00000000 (GP32CONFIGA)
gpiobase+0x0204: 0x00000000 (GP32CONFIGB)
gpiobase+0x0208: 0x80000000 (GP33CONFIGA)
gpiobase+0x020c: 0x00000000 (GP33CONFIGB)
gpiobase+0x0210: 0x40000000 (GP34CONFIGA)
gpiobase+0x0214: 0x00000000 (GP34CONFIGB)
gpiobase+0x0218: 0x40000000 (GP35CONFIGA)
gpiobase+0x021c: 0x00000000 (GP35CONFIGB)
gpiobase+0x0220: 0x40000000 (GP36CONFIGA)
gpiobase+0x0224: 0x00000000 (GP36CONFIGB)
gpiobase+0x0228: 0x40000000 (GP37CONFIGA)
gpiobase+0x022c: 0x00000000 (GP37CONFIGB)
gpiobase+0x0230: 0x80000000 (GP38CONFIGA)
gpiobase+0x0234: 0x00000000 (GP38CONFIGB)
gpiobase+0x0238: 0x80000000 (GP39CONFIGA)
gpiobase+0x023c: 0x00000000 (GP39CONFIGB)
gpiobase+0x0240: 0x40000000 (GP40CONFIGA)
gpiobase+0x0244: 0x00000000 (GP40CONFIGB)
gpiobase+0x0248: 0x40000000 (GP41CONFIGA)
gpiobase+0x024c: 0x00000000 (GP41CONFIGB)
gpiobase+0x0250: 0x40000000 (GP42CONFIGA)
gpiobase+0x0254: 0x00000000 (GP42CONFIGB)
gpiobase+0x0258: 0x40000000 (GP43CONFIGA)
gpiobase+0x025c: 0x00000000 (GP43CONFIGB)
gpiobase+0x0260: 0x40000005 (GP44CONFIGA)
gpiobase+0x0264: 0x00000000 (GP44CONFIGB)
gpiobase+0x0268: 0x80000001 (GP45CONFIGA)
gpiobase+0x026c: 0x00000004 (GP45CONFIGB)
gpiobase+0x0270: 0x80000001 (GP46CONFIGA)
gpiobase+0x0274: 0x00000004 (GP46CONFIGB)
gpiobase+0x0278: 0x0000000d (GP47CONFIGA)
gpiobase+0x027c: 0x00000000 (GP47CONFIGB)
gpiobase+0x0280: 0x00000001 (GP48CONFIGA)
gpiobase+0x0284: 0x00000004 (GP48CONFIGB)
gpiobase+0x0288: 0x80000001 (GP49CONFIGA)
gpiobase+0x028c: 0x00000004 (GP49CONFIGB)
gpiobase+0x0290: 0x00000015 (GP50CONFIGA)
gpiobase+0x0294: 0x00000000 (GP50CONFIGB)
gpiobase+0x0298: 0x40000005 (GP51CONFIGA)
gpiobase+0x029c: 0x00000000 (GP51CONFIGB)
gpiobase+0x02a0: 0x40000005 (GP52CONFIGA)
gpiobase+0x02a4: 0x00000000 (GP52CONFIGB)
gpiobase+0x02a8: 0x40000005 (GP53CONFIGA)
gpiobase+0x02ac: 0x00000000 (GP53CONFIGB)
gpiobase+0x02b0: 0x40000005 (GP54CONFIGA)
gpiobase+0x02b4: 0x00000000 (GP54CONFIGB)
gpiobase+0x02b8: 0x40000005 (GP55CONFIGA)
gpiobase+0x02bc: 0x00000000 (GP55CONFIGB)
gpiobase+0x02c0: 0x80000001 (GP56CONFIGA)
gpiobase+0x02c4: 0x00000004 (GP56CONFIGB)
gpiobase+0x02c8: 0x40000001 (GP57CONFIGA)
gpiobase+0x02cc: 0x00000004 (GP57CONFIGB)
gpiobase+0x02d0: 0x00000015 (GP58CONFIGA)
gpiobase+0x02d4: 0x00000000 (GP58CONFIGB)
gpiobase+0x02d8: 0x80000001 (GP59CONFIGA)
gpiobase+0x02dc: 0x00000004 (GP59CONFIGB)
gpiobase+0x02e0: 0x40000000 (GP60CONFIGA)
gpiobase+0x02e4: 0x00000000 (GP60CONFIGB)
gpiobase+0x02e8: 0x40000000 (GP61CONFIGA)
gpiobase+0x02ec: 0x00000000 (GP61CONFIGB)
gpiobase+0x02f0: 0x40000000 (GP62CONFIGA)
gpiobase+0x02f4: 0x00000000 (GP62CONFIGB)
gpiobase+0x02f8: 0x40000000 (GP63CONFIGA)
gpiobase+0x02fc: 0x00000000 (GP63CONFIGB)
gpiobase+0x0300: 0x80000000 (GP64CONFIGA)
gpiobase+0x0304: 0x00000000 (GP64CONFIGB)
gpiobase+0x0308: 0x80000000 (GP65CONFIGA)
gpiobase+0x030c: 0x00000000 (GP65CONFIGB)
gpiobase+0x0310: 0x00000005 (GP66CONFIGA)
gpiobase+0x0314: 0x00000000 (GP66CONFIGB)
gpiobase+0x0318: 0x80000000 (GP67CONFIGA)
gpiobase+0x031c: 0x00000000 (GP67CONFIGB)
gpiobase+0x0320: 0x80000000 (GP68CONFIGA)
gpiobase+0x0324: 0x00000000 (GP68CONFIGB)
gpiobase+0x0328: 0x80000000 (GP69CONFIGA)
gpiobase+0x032c: 0x00000000 (GP69CONFIGB)
gpiobase+0x0330: 0x00000001 (GP70CONFIGA)
gpiobase+0x0334: 0x00000004 (GP70CONFIGB)
gpiobase+0x0338: 0x40000000 (GP71CONFIGA)
gpiobase+0x033c: 0x00000000 (GP71CONFIGB)
gpiobase+0x0340: 0x40000005 (GP72CONFIGA)
gpiobase+0x0344: 0x00000000 (GP72CONFIGB)
gpiobase+0x0348: 0x40000000 (GP73CONFIGA)
gpiobase+0x034c: 0x00000000 (GP73CONFIGB)
gpiobase+0x0350: 0x40000000 (GP74CONFIGA)
gpiobase+0x0354: 0x00000000 (GP74CONFIGB)
gpiobase+0x0358: 0x40000000 (GP75CONFIGA)
gpiobase+0x035c: 0x00000000 (GP75CONFIGB)
gpiobase+0x0360: 0xc0000000 (GP76CONFIGA)
gpiobase+0x0364: 0x00000004 (GP76CONFIGB)
gpiobase+0x0368: 0x40000005 (GP77CONFIGA)
gpiobase+0x036c: 0x00000000 (GP77CONFIGB)
gpiobase+0x0370: 0x40000005 (GP78CONFIGA)
gpiobase+0x0374: 0x00000000 (GP78CONFIGB)
gpiobase+0x0378: 0x40000005 (GP79CONFIGA)
gpiobase+0x037c: 0x00000000 (GP79CONFIGB)
gpiobase+0x0380: 0x40000005 (GP80CONFIGA)
gpiobase+0x0384: 0x00000000 (GP80CONFIGB)
gpiobase+0x0388: 0x00000000 (GP81CONFIGA)
gpiobase+0x038c: 0x00000000 (GP81CONFIGB)
gpiobase+0x0390: 0x40000000 (GP82CONFIGA)
gpiobase+0x0394: 0x00000000 (GP82CONFIGB)
gpiobase+0x0398: 0x00000001 (GP83CONFIGA)
gpiobase+0x039c: 0x00000004 (GP83CONFIGB)
gpiobase+0x03a0: 0x00000001 (GP84CONFIGA)
gpiobase+0x03a4: 0x00000004 (GP84CONFIGB)
gpiobase+0x03a8: 0x00000001 (GP85CONFIGA)
gpiobase+0x03ac: 0x00000004 (GP85CONFIGB)
gpiobase+0x03b0: 0x00000005 (GP86CONFIGA)
gpiobase+0x03b4: 0x00000000 (GP86CONFIGB)
gpiobase+0x03b8: 0x00000001 (GP87CONFIGA)
gpiobase+0x03bc: 0x00000004 (GP87CONFIGB)
gpiobase+0x03c0: 0x80000001 (GP88CONFIGA)
gpiobase+0x03c4: 0x00000004 (GP88CONFIGB)
gpiobase+0x03c8: 0x80000001 (GP89CONFIGA)
gpiobase+0x03cc: 0x00000004 (GP89CONFIGB)
gpiobase+0x03d0: 0x00000001 (GP90CONFIGA)
gpiobase+0x03d4: 0x00000004 (GP90CONFIGB)
gpiobase+0x03d8: 0x80000000 (GP91CONFIGA)
gpiobase+0x03dc: 0x00000000 (GP91CONFIGB)
gpiobase+0x03e0: 0x80000000 (GP92CONFIGA)
gpiobase+0x03e4: 0x00000000 (GP92CONFIGB)
gpiobase+0x03e8: 0x80000000 (GP93CONFIGA)
gpiobase+0x03ec: 0x00000000 (GP93CONFIGB)
gpiobase+0x03f0: 0x80000000 (GP94CONFIGA)
gpiobase+0x03f4: 0x00000000 (GP94CONFIGB)


